NumCard,Valid
1234567812345670,11/22
1234567812534240,11/22
1234567813167630,05/23
1234567814164430,01/23
1234567815643730,09/23
1234567821349640,11/22
1234567825735360,09/23
1234567829544050,03/23
1234567831521800,09/23
1234567835312730,05/23
1234567838210570,08/23
1234567843565730,05/23
1234567849361180,11/22
1234567849689100,09/23
1234567850927400,03/23
1234567856392430,12/22
1234567858281830,04/23
1234567860995780,12/22
1234567862951330,08/23
1234567863650470,03/23
1234567866974630,05/23
1234567871708930,03/23
1234567873435200,09/23
1234567873562360,02/23
1234567877829390,08/23
1234567881615270,04/23
1234567885653200,01/23
1234567886109730,03/23
1234567891065060,04/23
1234567893068420,11/22
1234567894616950,09/23
1234567896632090,01/23
1234567901225170,03/23
1234567907134210,09/23
1234567910646600,06/23
1234567916069660,02/23
1234567917947530,04/23
1234567920470050,11/22
1234567926012470,09/23
1234567926912340,04/23
1234567927178920,01/23
1234567928301510,04/23
1234567929654830,08/23
1234567929952440,10/23
1234567934266670,02/23
1234567938552350,06/23
1234567943023200,09/23
1234567946054950,04/23
1234567951245600,02/23
1234567954781430,08/23
1234567956972630,08/23
1234567961753820,09/23
1234567967638160,05/23
1234567971741680,10/23
1234567975208130,02/23
1234567980498640,11/22
1234567983480010,02/23
1234567986791170,04/23
1234567990535880,03/23
1234567993874980,04/23
1234567998142170,01/23
1234568002551200,12/22
1234568006943200,12/22
1234568012357820,06/23
1234568013791930,12/22
1234568019417410,07/23
1234568019568980,10/23
1234568021059810,10/23
1234568026757600,05/23
1234568032298150,09/23
1234568036764650,12/22
1234568036874120,04/23
1234568042200820,11/22
1234568042913740,12/22
1234568043152550,11/22
1234568043986900,10/23
1234568045585270,11/22
1234568046525910,07/23
1234568047088310,12/22
1234568049899490,08/23
1234568053758600,07/23
1234568056088730,06/23
1234568060704130,02/23
1234568063334510,10/23
1234568068491140,06/23
1234568072865180,02/23
1234568074308050,11/22
1234568078111880,06/23
1234568084014000,09/23
1234568085595420,12/22
1234568089986240,03/23
1234568093450380,12/22
1234568096789230,01/23
1234568096861440,07/23
1234568097236230,07/23
1234568102220060,07/23
1234568105169600,12/22
1234568106117170,04/23
1234568108598250,02/23
1234568113929800,10/23
1234568115444930,01/23
1234568119988490,05/23
1234568120107270,09/23
1234568121171220,12/22
1234568124081660,11/22
1234568126003000,04/23
1234568131402640,02/23
1234568134003740,04/23
1234568136302910,01/23
1234568141323880,08/23
1234568146496760,05/23
1234568146584450,01/23
1234568150246130,10/23
1234568151939300,01/23
1234568152710170,11/22
1234568154442710,06/23
1234568157086240,05/23
1234568161140140,04/23
1234568167097320,01/23
1234568168606510,01/23
1234568171370680,02/23
1234568172296920,11/22
1234568173482210,10/23
1234568175650170,08/23
1234568179743460,11/22
1234568180882930,10/23
1234568181914940,02/23
1234568183086820,04/23
1234568183869820,08/23
1234568188801040,01/23
1234568194222400,05/23
1234568194384830,09/23
1234568200354620,10/23
1234568203440490,12/22
1234568207575810,04/23
1234568211454220,02/23
1234568211540620,02/23
